epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.7392,0.90456,3.13031,1.4258,0,0,0,0,0,48.6641,0,0.00012861,0.00012861,0.00012861
2,6.37611,0.40206,2.63977,1.08763,0,0,0,0,0,48.6875,0,0.000268822,0.000268822,0.000268822
3,7.95098,0.45731,2.18808,1.1286,0,0,0,0,0,48.9336,0,0.000406205,0.000406205,0.000406205
4,9.51786,0.44728,1.7765,1.07735,0,0,0,0,0,51.4648,0,0.000540758,0.000540758,0.000540758
5,11.0589,0.47598,1.40604,1.07812,0,0,0,0,0,55.9688,0,0.000672482,0.000672482,0.000672482
6,12.5829,0.4825,1.29241,1.07761,0,0,0,0,0,94.7188,0,0.000801376,0.000801376,0.000801376
7,14.0577,0.48564,1.07865,1.08724,0,0,0,0,0,99.9219,0,0.000927441,0.000927441,0.000927441
8,15.5672,0.45672,1.00859,1.07289,0,0,0,0,0,230.328,0,0.00105068,0.00105068,0.00105068
9,17.055,0.47028,1.01313,1.08412,0,0,0,0,0,194.109,0,0.00117108,0.00117108,0.00117108
10,18.5739,0.46083,0.92938,1.06798,0,0,0,0,0,156.344,0,0.00128866,0.00128866,0.00128866
11,20.0487,0.50217,0.9577,1.10556,0,0,0,0,0,162.25,0,0.00128753,0.00128753,0.00128753
12,21.5298,0.48307,0.9388,1.08639,0,0,0,0,0,184.438,0,0.00127338,0.00127338,0.00127338
13,23.0058,0.43828,0.85656,1.03433,0,0,0,0,0,233.766,0,0.00125923,0.00125923,0.00125923
14,24.4967,0.48201,0.91062,1.06419,0,0,0,0,0,427.469,0,0.00124509,0.00124509,0.00124509
15,25.9538,0.46329,0.96204,1.09452,0,0,0,0,0,228.188,0,0.00123094,0.00123094,0.00123094
